Program started
Connected to remote API server
Number of objects in the scene: 26
currentTime = 0.446530, dt = 0.002116
currentTime = 0.448573, dt = 0.002043
currentTime = 0.450581, dt = 0.002008
currentTime = 0.453175, dt = 0.002594
currentTime = 0.455191, dt = 0.002016
currentTime = 0.457203, dt = 0.002012
currentTime = 0.459217, dt = 0.002014
currentTime = 0.461228, dt = 0.002011
currentTime = 0.463240, dt = 0.002012
currentTime = 0.466199, dt = 0.002959
currentTime = 0.468238, dt = 0.002039
currentTime = 0.470324, dt = 0.002086
currentTime = 0.472339, dt = 0.002015
currentTime = 0.474349, dt = 0.002010
currentTime = 0.476359, dt = 0.002010
currentTime = 0.478368, dt = 0.002009
currentTime = 0.480391, dt = 0.002024
currentTime = 0.482407, dt = 0.002016
currentTime = 0.484424, dt = 0.002017
currentTime = 0.486436, dt = 0.002012
currentTime = 0.488446, dt = 0.002010
currentTime = 0.490453, dt = 0.002007
currentTime = 0.492465, dt = 0.002012
currentTime = 0.494493, dt = 0.002028
currentTime = 0.496520, dt = 0.002026
currentTime = 0.498571, dt = 0.002052
currentTime = 0.500581, dt = 0.002010
currentTime = 0.502594, dt = 0.002013
currentTime = 0.504644, dt = 0.002050
currentTime = 0.506654, dt = 0.002010
currentTime = 0.508664, dt = 0.002011
currentTime = 0.510679, dt = 0.002014
currentTime = 0.512723, dt = 0.002044
currentTime = 0.514814, dt = 0.002091
currentTime = 0.516939, dt = 0.002125
currentTime = 0.519012, dt = 0.002073
currentTime = 0.521092, dt = 0.002081
currentTime = 0.523135, dt = 0.002042
currentTime = 0.525169, dt = 0.002035
currentTime = 0.527192, dt = 0.002022
currentTime = 0.529209, dt = 0.002018
currentTime = 0.531223, dt = 0.002014
currentTime = 0.533253, dt = 0.002030
currentTime = 0.535264, dt = 0.002011
currentTime = 0.537783, dt = 0.002520
currentTime = 0.539802, dt = 0.002018
currentTime = 0.541817, dt = 0.002015
currentTime = 0.543919, dt = 0.002103
currentTime = 0.545948, dt = 0.002029
currentTime = 0.547970, dt = 0.002021
currentTime = 0.549984, dt = 0.002014
currentTime = 0.551995, dt = 0.002011
currentTime = 0.554020, dt = 0.002025
currentTime = 0.556130, dt = 0.002110
currentTime = 0.558141, dt = 0.002011
currentTime = 0.560152, dt = 0.002011
currentTime = 0.562163, dt = 0.002011
currentTime = 0.564175, dt = 0.002011
currentTime = 0.566203, dt = 0.002028
currentTime = 0.568215, dt = 0.002012
currentTime = 0.570236, dt = 0.002021
currentTime = 0.572247, dt = 0.002011
currentTime = 0.574258, dt = 0.002011
currentTime = 0.576267, dt = 0.002009
currentTime = 0.578279, dt = 0.002012
currentTime = 0.580289, dt = 0.002011
currentTime = 0.582853, dt = 0.002564
currentTime = 0.584875, dt = 0.002022
currentTime = 0.586916, dt = 0.002040
Here here. -0.015000, -0.015000, -0.015000
currentTime = 0.591300, dt = 0.004384
currentTime = 0.594803, dt = 0.003503
currentTime = 0.596814, dt = 0.002011
currentTime = 0.598840, dt = 0.002026
currentTime = 0.600850, dt = 0.002010
currentTime = 0.603801, dt = 0.002951
currentTime = 0.605813, dt = 0.002012
currentTime = 0.607855, dt = 0.002041
currentTime = 0.609863, dt = 0.002009
currentTime = 0.611872, dt = 0.002009
currentTime = 0.613882, dt = 0.002010
currentTime = 0.615923, dt = 0.002041
currentTime = 0.617934, dt = 0.002011
currentTime = 0.619945, dt = 0.002010
currentTime = 0.621963, dt = 0.002018
currentTime = 0.623974, dt = 0.002011
currentTime = 0.625983, dt = 0.002008
currentTime = 0.628000, dt = 0.002017
currentTime = 0.630018, dt = 0.002018
currentTime = 0.632030, dt = 0.002012
currentTime = 0.634048, dt = 0.002018
currentTime = 0.636068, dt = 0.002020
currentTime = 0.638080, dt = 0.002012
currentTime = 0.640089, dt = 0.002009
currentTime = 0.642118, dt = 0.002029
currentTime = 0.644128, dt = 0.002009
currentTime = 0.646138, dt = 0.002011
currentTime = 0.648162, dt = 0.002024
currentTime = 0.650187, dt = 0.002025
currentTime = 0.652209, dt = 0.002021
currentTime = 0.654222, dt = 0.002013
currentTime = 0.656232, dt = 0.002011
currentTime = 0.658241, dt = 0.002009
currentTime = 0.660254, dt = 0.002013
currentTime = 0.662267, dt = 0.002013
currentTime = 0.664288, dt = 0.002021
currentTime = 0.666305, dt = 0.002016
currentTime = 0.668316, dt = 0.002011
currentTime = 0.670333, dt = 0.002017
currentTime = 0.672345, dt = 0.002012
currentTime = 0.674355, dt = 0.002010
currentTime = 0.676366, dt = 0.002011
currentTime = 0.678374, dt = 0.002008
currentTime = 0.680384, dt = 0.002011
currentTime = 0.682394, dt = 0.002009
currentTime = 0.684402, dt = 0.002008
currentTime = 0.686414, dt = 0.002012
currentTime = 0.688423, dt = 0.002009
currentTime = 0.690454, dt = 0.002032
currentTime = 0.692463, dt = 0.002009
currentTime = 0.694492, dt = 0.002029
currentTime = 0.696503, dt = 0.002011
currentTime = 0.698516, dt = 0.002013
currentTime = 0.700523, dt = 0.002007
currentTime = 0.702536, dt = 0.002013
currentTime = 0.704545, dt = 0.002009
currentTime = 0.706556, dt = 0.002011
currentTime = 0.708863, dt = 0.002307
currentTime = 0.710886, dt = 0.002023
currentTime = 0.712897, dt = 0.002011
currentTime = 0.714908, dt = 0.002011
currentTime = 0.716917, dt = 0.002010
currentTime = 0.718942, dt = 0.002025
currentTime = 0.720950, dt = 0.002008
currentTime = 0.722963, dt = 0.002013
currentTime = 0.724971, dt = 0.002009
currentTime = 0.726980, dt = 0.002009
currentTime = 0.728998, dt = 0.002018
currentTime = 0.731013, dt = 0.002015
currentTime = 0.733044, dt = 0.002032
currentTime = 0.735054, dt = 0.002010
currentTime = 0.737074, dt = 0.002019
currentTime = 0.739080, dt = 0.002006
currentTime = 0.741089, dt = 0.002009
currentTime = 0.743107, dt = 0.002018
currentTime = 0.745117, dt = 0.002010
currentTime = 0.747128, dt = 0.002011
currentTime = 0.749272, dt = 0.002144
currentTime = 0.751287, dt = 0.002014
currentTime = 0.753299, dt = 0.002012
currentTime = 0.755314, dt = 0.002015
currentTime = 0.757340, dt = 0.002026
currentTime = 0.759353, dt = 0.002013
currentTime = 0.761361, dt = 0.002007
currentTime = 0.763372, dt = 0.002011
currentTime = 0.765394, dt = 0.002022
currentTime = 0.767413, dt = 0.002019
currentTime = 0.769948, dt = 0.002534
currentTime = 0.771970, dt = 0.002023
currentTime = 0.773980, dt = 0.002010
currentTime = 0.775991, dt = 0.002011
currentTime = 0.778002, dt = 0.002011
currentTime = 0.780029, dt = 0.002027
currentTime = 0.782040, dt = 0.002011
currentTime = 0.784949, dt = 0.002909
currentTime = 0.786957, dt = 0.002008
currentTime = 0.788986, dt = 0.002029
currentTime = 0.791002, dt = 0.002016
currentTime = 0.793021, dt = 0.002019
currentTime = 0.795031, dt = 0.002011
currentTime = 0.797048, dt = 0.002016
currentTime = 0.799084, dt = 0.002037
currentTime = 0.801108, dt = 0.002024
currentTime = 0.803122, dt = 0.002014
currentTime = 0.805135, dt = 0.002013
currentTime = 0.807235, dt = 0.002100
currentTime = 0.809254, dt = 0.002019
currentTime = 0.811280, dt = 0.002026
currentTime = 0.813298, dt = 0.002018
currentTime = 0.815311, dt = 0.002014
currentTime = 0.817339, dt = 0.002028
currentTime = 0.819352, dt = 0.002013
currentTime = 0.821363, dt = 0.002011
currentTime = 0.823383, dt = 0.002020
currentTime = 0.825396, dt = 0.002013
currentTime = 0.827417, dt = 0.002021
currentTime = 0.829443, dt = 0.002026
currentTime = 0.831478, dt = 0.002035
currentTime = 0.833503, dt = 0.002025
currentTime = 0.835517, dt = 0.002014
currentTime = 0.837528, dt = 0.002011
currentTime = 0.839538, dt = 0.002010
currentTime = 0.841564, dt = 0.002026
currentTime = 0.843580, dt = 0.002016
currentTime = 0.845620, dt = 0.002040
currentTime = 0.847634, dt = 0.002015
currentTime = 0.849645, dt = 0.002011
currentTime = 0.851671, dt = 0.002026
currentTime = 0.853683, dt = 0.002012
currentTime = 0.855702, dt = 0.002019
currentTime = 0.857711, dt = 0.002009
currentTime = 0.859734, dt = 0.002023
Here here. -0.015000, -0.015000, -0.015000
currentTime = 0.862478, dt = 0.002744
currentTime = 0.865103, dt = 0.002626
currentTime = 0.867128, dt = 0.002024
currentTime = 0.871053, dt = 0.003925
currentTime = 0.874047, dt = 0.002994
currentTime = 0.876085, dt = 0.002038
currentTime = 0.878093, dt = 0.002008
currentTime = 0.880120, dt = 0.002026
currentTime = 0.882137, dt = 0.002018
currentTime = 0.884147, dt = 0.002009
currentTime = 0.886175, dt = 0.002029
currentTime = 0.888186, dt = 0.002011
currentTime = 0.890195, dt = 0.002008
currentTime = 0.892216, dt = 0.002021
currentTime = 0.894229, dt = 0.002012
currentTime = 0.896257, dt = 0.002028
currentTime = 0.898268, dt = 0.002011
currentTime = 0.900294, dt = 0.002026
currentTime = 0.902312, dt = 0.002018
currentTime = 0.904345, dt = 0.002033
currentTime = 0.906359, dt = 0.002014
currentTime = 0.908369, dt = 0.002009
currentTime = 0.910381, dt = 0.002012
currentTime = 0.912390, dt = 0.002010
currentTime = 0.914414, dt = 0.002024
currentTime = 0.916448, dt = 0.002033
currentTime = 0.918473, dt = 0.002025
currentTime = 0.920483, dt = 0.002010
currentTime = 0.922492, dt = 0.002009
currentTime = 0.924520, dt = 0.002028
currentTime = 0.926531, dt = 0.002012
currentTime = 0.928550, dt = 0.002018
currentTime = 0.930571, dt = 0.002022
currentTime = 0.932592, dt = 0.002021
currentTime = 0.934625, dt = 0.002033
currentTime = 0.936654, dt = 0.002028
currentTime = 0.938663, dt = 0.002010
currentTime = 0.941622, dt = 0.002959
currentTime = 0.943665, dt = 0.002043
currentTime = 0.945675, dt = 0.002010
currentTime = 0.947684, dt = 0.002009
currentTime = 0.950071, dt = 0.002387
currentTime = 0.952083, dt = 0.002012
currentTime = 0.954093, dt = 0.002010
currentTime = 0.956104, dt = 0.002011
currentTime = 0.958115, dt = 0.002011
currentTime = 0.960128, dt = 0.002013
currentTime = 0.962139, dt = 0.002011
currentTime = 0.964170, dt = 0.002031
currentTime = 0.966182, dt = 0.002012
currentTime = 0.968197, dt = 0.002014
currentTime = 0.970216, dt = 0.002020
currentTime = 0.972230, dt = 0.002013
currentTime = 0.974240, dt = 0.002010
currentTime = 0.976248, dt = 0.002008
currentTime = 0.978257, dt = 0.002010
currentTime = 0.980277, dt = 0.002019
currentTime = 0.982288, dt = 0.002011
currentTime = 0.984303, dt = 0.002015
currentTime = 0.986311, dt = 0.002008
currentTime = 0.988319, dt = 0.002008
currentTime = 0.990332, dt = 0.002013
currentTime = 0.992343, dt = 0.002012
currentTime = 0.994385, dt = 0.002042
currentTime = 0.996400, dt = 0.002015
currentTime = 0.998428, dt = 0.002029
